method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,CD,0.84982,0.0,0.63036,0.0,0.65828,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,HYP,0.74197,0.0,0.24928,0.0,0.36273,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,NORM,0.888,0.0,0.80019,0.0,0.8,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,MI,0.79618,0.0,0.41624,0.0,0.57619,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,STTC,0.86899,0.0,0.58945,0.0,0.66231,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,CD,0.84661,0.0,0.62884,0.0,0.65328,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,HYP,0.75031,0.0,0.24581,0.0,0.37659,0.0
I_100hz_bce,I,100,bce,1,NORM,0.8724,0.0,0.75962,0.0,0.78539,0.0
I_100hz_bce,I,100,bce,1,MI,0.76118,0.0,0.17225,0.0,0.50788,0.0
I_100hz_bce,I,100,bce,1,STTC,0.86638,0.0,0.30581,0.0,0.65108,0.0
I_100hz_bce,I,100,bce,1,CD,0.78381,0.0,0.49499,0.0,0.55059,0.0
I_100hz_bce,I,100,bce,1,HYP,0.78508,0.0,0.34286,0.0,0.41748,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,NORM,0.88318,0.0,0.72331,0.0,0.78475,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,MI,0.77703,0.0,0.55223,0.0,0.54874,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,STTC,0.87491,0.0,0.49869,0.0,0.66054,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,CD,0.81098,0.0,0.58273,0.0,0.56742,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,HYP,0.79476,0.0,0.32312,0.0,0.42718,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.88772,0.0,0.71762,0.0,0.79415,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.78717,0.0,0.56105,0.0,0.55477,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.8775,0.0,0.53652,0.0,0.66886,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.81793,0.0,0.56827,0.0,0.58617,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.80412,0.0,0.27628,0.0,0.4322,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.88315,0.0,0.79309,0.0,0.79893,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.77371,0.0,0.3975,0.0,0.54956,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87468,0.0,0.6537,0.0,0.66442,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.81382,0.0,0.53835,0.0,0.59189,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.80322,0.0,0.4396,0.0,0.46345,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.88374,0.0,0.74037,0.0,0.78966,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.77664,0.0,0.55887,0.0,0.55644,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87319,0.0,0.51421,0.0,0.66226,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.81374,0.0,0.58746,0.0,0.59313,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.7986,0.0,0.27381,0.0,0.43045,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.88317,0.0,0.69751,0.0,0.79101,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.78066,0.0,0.55023,0.0,0.55227,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87687,0.0,0.48413,0.0,0.67601,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.82527,0.0,0.59334,0.0,0.59565,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.80496,0.0,0.29412,0.0,0.43109,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.88523,0.0,0.79776,0.0,0.79665,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.79545,0.0,0.48698,0.0,0.56039,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87944,0.0,0.61504,0.0,0.67745,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.82751,0.0,0.59516,0.0,0.58566,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.80459,0.0,0.38144,0.0,0.44522,0.0
I_50hz_bce,I,50,bce,1,NORM,0.85215,0.0,0.73496,0.0,0.7696,0.0
I_50hz_bce,I,50,bce,1,MI,0.68433,0.0,0.08306,0.0,0.49275,0.0
I_50hz_bce,I,50,bce,1,STTC,0.83291,0.0,0.58824,0.0,0.59861,0.0
I_50hz_bce,I,50,bce,1,CD,0.76968,0.0,0.49811,0.0,0.53601,0.0
I_50hz_bce,I,50,bce,1,HYP,0.7196,0.0,0.18338,0.0,0.31849,0.0
"I_50hz_bce,ta_mkd,ta_crf,feature_clecg",I,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.86149,0.0,0.66467,0.0,0.77658,0.0
"I_50hz_bce,ta_mkd,ta_crf,feature_clecg",I,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.74152,0.0,0.52536,0.0,0.53043,0.0
